"","date","name","category","value"
"250",1970-01-06,"New.Mexico","S",2007169
"251",1970-01-06,"Texas","S",26095930
"252",1970-01-06,"California","S",35114980
"253",1970-01-06,"Kentucky","S",4646502
"254",1970-01-06,"Georgia","S",9667945
"255",1970-01-06,"Wisconsin","S",5784086
"256",1970-01-06,"Oregon","S",4026673
"257",1970-01-06,"Missouri","S",6095176
"258",1970-01-06,"Virginia","S",8356177
"259",1970-01-06,"Tennessee","S",5924996
"260",1970-01-06,"Louisiana","S",4425600
"261",1970-01-06,"New.York","S",18341690
"262",1970-01-06,"Michigan","S",9800301
"263",1970-01-06,"Idaho","S",1677723
"264",1970-01-06,"Florida","S",20131420
"265",1970-01-06,"Illinois","S",12956220
"266",1970-01-06,"Montana","S",1020306
"267",1970-01-06,"Minnesota","S",5469500
"268",1970-01-06,"Indiana","S",6518298
"269",1970-01-06,"Massachusetts","S",5612916
"270",1970-01-06,"Kansas","S",2858035
"271",1970-01-06,"Nevada","S",2761690
"272",1970-01-06,"Vermont","S",634153
"273",1970-01-06,"Connecticut","S",3351654
"274",1970-01-06,"New.Jersey","S",10054250
"275",1970-01-06,"North.Carolina","S",9311830
"276",1970-01-06,"Utah","S",3037363
"277",1970-01-06,"North.Dakota","S",672026
"278",1970-01-06,"South.Carolina","S",4474623
"279",1970-01-06,"Mississippi","S",2782401
"280",1970-01-06,"Colorado","S",5367069
"281",1970-01-06,"South.Dakota","S",849586
"282",1970-01-06,"Oklahoma","S",3545716
"283",1970-01-06,"Wyoming","S",587924
"284",1970-01-06,"West.Virginia","S",1822686
"285",1970-01-06,"Maine","S",1216068
"286",1970-01-06,"New.Hampshire","S",1278560
"287",1970-01-06,"Arizona","S",6091467
"288",1970-01-06,"Rhode.Island","S",929596
"289",1970-01-07,"Maryland","S",6497744
"290",1970-01-07,"Iowa","S",3086788
"291",1970-01-07,"Delaware","S",834420
"292",1970-01-07,"Ohio","S",11331100
"293",1970-01-07,"Pennsylvania","S",12677130
"294",1970-01-07,"Nebraska","S",1828636
"295",1970-01-07,"Washington","S",7083135
"296",1970-01-07,"Alabama","S",4507724
"297",1970-01-07,"Arkansas","S",2652788
"298",1970-01-07,"New.Mexico","S",2007169
"299",1970-01-07,"Texas","S",26095930
"300",1970-01-07,"California","S",35114980
"301",1970-01-07,"Kentucky","S",4646502
"302",1970-01-07,"Georgia","S",9667773
"303",1970-01-07,"Wisconsin","S",5784086
"304",1970-01-07,"Oregon","S",4026673
"305",1970-01-07,"Missouri","S",6095176
"306",1970-01-07,"Virginia","S",8356177
"307",1970-01-07,"Tennessee","S",5924996
"308",1970-01-07,"Louisiana","S",4425600
"309",1970-01-07,"New.York","S",18341690
"310",1970-01-07,"Michigan","S",9800301
"311",1970-01-07,"Idaho","S",1677723
"312",1970-01-07,"Florida","S",20131420
"313",1970-01-07,"Illinois","S",12956220
"314",1970-01-07,"Montana","S",1020306
"315",1970-01-07,"Minnesota","S",5469500
"316",1970-01-07,"Indiana","S",6518298
"317",1970-01-07,"Massachusetts","S",5612916
"318",1970-01-07,"Kansas","S",2858035
"319",1970-01-07,"Nevada","S",2761690
"320",1970-01-07,"Vermont","S",634153
"321",1970-01-07,"Connecticut","S",3351654
"322",1970-01-07,"New.Jersey","S",10054250
"323",1970-01-07,"North.Carolina","S",9311830
"324",1970-01-07,"Utah","S",3037363
"325",1970-01-07,"North.Dakota","S",672026
"326",1970-01-07,"South.Carolina","S",4474623
"327",1970-01-07,"Mississippi","S",2782401
"328",1970-01-07,"Colorado","S",5367069
"329",1970-01-07,"South.Dakota","S",849586
"330",1970-01-07,"Oklahoma","S",3545716
"331",1970-01-07,"Wyoming","S",587924
"332",1970-01-07,"West.Virginia","S",1822686
"333",1970-01-07,"Maine","S",1216068
"334",1970-01-07,"New.Hampshire","S",1278560
"335",1970-01-07,"Arizona","S",6091467
"336",1970-01-07,"Rhode.Island","S",929596
"337",1970-01-08,"Maryland","S",6497744
"338",1970-01-08,"Iowa","S",3086788
"339",1970-01-08,"Delaware","S",834420
"340",1970-01-08,"Ohio","S",11331100
"341",1970-01-08,"Pennsylvania","S",12677130
"342",1970-01-08,"Nebraska","S",1828636
"343",1970-01-08,"Washington","S",7083135
"344",1970-01-08,"Alabama","S",4507724
"345",1970-01-08,"Arkansas","S",2652788
"346",1970-01-08,"New.Mexico","S",2007169
"347",1970-01-08,"Texas","S",26095930
"348",1970-01-08,"California","S",35114980
"349",1970-01-08,"Kentucky","S",4646502
"350",1970-01-08,"Georgia","S",9667495
"351",1970-01-08,"Wisconsin","S",5784086
"352",1970-01-08,"Oregon","S",4026673
"353",1970-01-08,"Missouri","S",6095176
"354",1970-01-08,"Virginia","S",8356177
"355",1970-01-08,"Tennessee","S",5924996
"356",1970-01-08,"Louisiana","S",4425600
"357",1970-01-08,"New.York","S",18341690
"358",1970-01-08,"Michigan","S",9800301
"359",1970-01-08,"Idaho","S",1677723
"360",1970-01-08,"Florida","S",20131420
"361",1970-01-08,"Illinois","S",12956220
"362",1970-01-08,"Montana","S",1020306
"363",1970-01-08,"Minnesota","S",5469500
"364",1970-01-08,"Indiana","S",6518298
"365",1970-01-08,"Massachusetts","S",5612916
"366",1970-01-08,"Kansas","S",2858035
"367",1970-01-08,"Nevada","S",2761690
"368",1970-01-08,"Vermont","S",634153
"369",1970-01-08,"Connecticut","S",3351654
"370",1970-01-08,"New.Jersey","S",10054250
"371",1970-01-08,"North.Carolina","S",9311830
"372",1970-01-08,"Utah","S",3037363
"373",1970-01-08,"North.Dakota","S",672026
"374",1970-01-08,"South.Carolina","S",4474623
"375",1970-01-08,"Mississippi","S",2782401
"376",1970-01-08,"Colorado","S",5367069
"377",1970-01-08,"South.Dakota","S",849586
"378",1970-01-08,"Oklahoma","S",3545716
"379",1970-01-08,"Wyoming","S",587924
"380",1970-01-08,"West.Virginia","S",1822686
"381",1970-01-08,"Maine","S",1216068
"382",1970-01-08,"New.Hampshire","S",1278560
"383",1970-01-08,"Arizona","S",6091467
