"","date","name","category","value"
"194",1970-01-05,"Iowa",19,3086788
"195",1970-01-05,"Delaware",4,834420
"196",1970-01-05,"Ohio",42,11331100
"197",1970-01-05,"Pennsylvania",43,12677130
"198",1970-01-05,"Nebraska",12,1828636
"199",1970-01-05,"Washington",36,7083135
"200",1970-01-05,"Alabama",25,4507724
"201",1970-01-05,"Arkansas",14,2652788
"202",1970-01-05,"New.Mexico",13,2007169
"203",1970-01-05,"Texas",47,26095930
"204",1970-01-05,"California",48,35114980
"205",1970-01-05,"Kentucky",26,4646502
"206",1970-01-05,"Georgia",39,9668082
"207",1970-01-05,"Wisconsin",30,5784086
"208",1970-01-05,"Oregon",22,4026673
"209",1970-01-05,"Missouri",33,6095176
"210",1970-01-05,"Virginia",37,8356177
"211",1970-01-05,"Tennessee",31,5924996
"212",1970-01-05,"Louisiana",23,4425600
"213",1970-01-05,"New.York",45,18341690
"214",1970-01-05,"Michigan",40,9800301
"215",1970-01-05,"Idaho",10,1677723
"216",1970-01-05,"Florida",46,20131420
"217",1970-01-05,"Illinois",44,12956220
"218",1970-01-05,"Montana",7,1020306
"219",1970-01-05,"Minnesota",28,5469500
"220",1970-01-05,"Indiana",35,6518298
"221",1970-01-05,"Massachusetts",29,5612916
"222",1970-01-05,"Kansas",17,2858035
"223",1970-01-05,"Nevada",15,2761690
"224",1970-01-05,"Vermont",2,634153
"225",1970-01-05,"Connecticut",20,3351654
"226",1970-01-05,"New.Jersey",41,10054250
"227",1970-01-05,"North.Carolina",38,9311830
"228",1970-01-05,"Utah",18,3037363
"229",1970-01-05,"North.Dakota",3,672026
"230",1970-01-05,"South.Carolina",24,4474623
"231",1970-01-05,"Mississippi",16,2782401
"232",1970-01-05,"Colorado",27,5367069
"233",1970-01-05,"South.Dakota",5,849586
"234",1970-01-05,"Oklahoma",21,3545716
"235",1970-01-05,"Wyoming",1,587924
"236",1970-01-05,"West.Virginia",11,1822686
"237",1970-01-05,"Maine",8,1216068
"238",1970-01-05,"New.Hampshire",9,1278560
"239",1970-01-05,"Arizona",32,6091467
"240",1970-01-05,"Rhode.Island",6,929596
"241",1970-01-06,"Maryland",34,6497744
"242",1970-01-06,"Iowa",19,3086788
"243",1970-01-06,"Delaware",4,834420
"244",1970-01-06,"Ohio",42,11331100
"245",1970-01-06,"Pennsylvania",43,12677130
"246",1970-01-06,"Nebraska",12,1828636
"247",1970-01-06,"Washington",36,7083135
"248",1970-01-06,"Alabama",25,4507724
"249",1970-01-06,"Arkansas",14,2652788
"250",1970-01-06,"New.Mexico",13,2007169
"251",1970-01-06,"Texas",47,26095930
"252",1970-01-06,"California",48,35114980
"253",1970-01-06,"Kentucky",26,4646502
"254",1970-01-06,"Georgia",39,9668014
"255",1970-01-06,"Wisconsin",30,5784086
"256",1970-01-06,"Oregon",22,4026673
"257",1970-01-06,"Missouri",33,6095176
"258",1970-01-06,"Virginia",37,8356177
"259",1970-01-06,"Tennessee",31,5924996
"260",1970-01-06,"Louisiana",23,4425600
"261",1970-01-06,"New.York",45,18341690
"262",1970-01-06,"Michigan",40,9800301
"263",1970-01-06,"Idaho",10,1677723
"264",1970-01-06,"Florida",46,20131420
"265",1970-01-06,"Illinois",44,12956220
"266",1970-01-06,"Montana",7,1020306
"267",1970-01-06,"Minnesota",28,5469500
"268",1970-01-06,"Indiana",35,6518298
"269",1970-01-06,"Massachusetts",29,5612916
"270",1970-01-06,"Kansas",17,2858035
"271",1970-01-06,"Nevada",15,2761690
"272",1970-01-06,"Vermont",2,634153
"273",1970-01-06,"Connecticut",20,3351654
"274",1970-01-06,"New.Jersey",41,10054250
"275",1970-01-06,"North.Carolina",38,9311830
"276",1970-01-06,"Utah",18,3037363
"277",1970-01-06,"North.Dakota",3,672026
"278",1970-01-06,"South.Carolina",24,4474623
"279",1970-01-06,"Mississippi",16,2782401
"280",1970-01-06,"Colorado",27,5367069
"281",1970-01-06,"South.Dakota",5,849586
"282",1970-01-06,"Oklahoma",21,3545716
"283",1970-01-06,"Wyoming",1,587924
"284",1970-01-06,"West.Virginia",11,1822686
"285",1970-01-06,"Maine",8,1216068
"286",1970-01-06,"New.Hampshire",9,1278560
"287",1970-01-06,"Arizona",32,6091467
"288",1970-01-06,"Rhode.Island",6,929596
"289",1970-01-07,"Maryland",34,6497744
"290",1970-01-07,"Iowa",19,3086788
"291",1970-01-07,"Delaware",4,834420
"292",1970-01-07,"Ohio",42,11331100
"293",1970-01-07,"Pennsylvania",43,12677130
"294",1970-01-07,"Nebraska",12,1828636
"295",1970-01-07,"Washington",36,7083135
"296",1970-01-07,"Alabama",25,4507724
"297",1970-01-07,"Arkansas",14,2652788
"298",1970-01-07,"New.Mexico",13,2007169
"299",1970-01-07,"Texas",47,26095930
"300",1970-01-07,"California",48,35114980
"301",1970-01-07,"Kentucky",26,4646502
"302",1970-01-07,"Georgia",39,9667907
"303",1970-01-07,"Wisconsin",30,5784086
"304",1970-01-07,"Oregon",22,4026673
"305",1970-01-07,"Missouri",33,6095176
"306",1970-01-07,"Virginia",37,8356177
"307",1970-01-07,"Tennessee",31,5924996
"308",1970-01-07,"Louisiana",23,4425600
"309",1970-01-07,"New.York",45,18341690
"310",1970-01-07,"Michigan",40,9800301
"311",1970-01-07,"Idaho",10,1677723
"312",1970-01-07,"Florida",46,20131420
"313",1970-01-07,"Illinois",44,12956220
"314",1970-01-07,"Montana",7,1020306
"315",1970-01-07,"Minnesota",28,5469500
"316",1970-01-07,"Indiana",35,6518298
"317",1970-01-07,"Massachusetts",29,5612916
"318",1970-01-07,"Kansas",17,2858035
"319",1970-01-07,"Nevada",15,2761690
"320",1970-01-07,"Vermont",2,634153
"321",1970-01-07,"Connecticut",20,3351654
"322",1970-01-07,"New.Jersey",41,10054250
"323",1970-01-07,"North.Carolina",38,9311830
"324",1970-01-07,"Utah",18,3037363
"325",1970-01-07,"North.Dakota",3,672026
"326",1970-01-07,"South.Carolina",24,4474623
"327",1970-01-07,"Mississippi",16,2782401
"328",1970-01-07,"Colorado",27,5367069
"329",1970-01-07,"South.Dakota",5,849586
"330",1970-01-07,"Oklahoma",21,3545716
"331",1970-01-07,"Wyoming",1,587924
"332",1970-01-07,"West.Virginia",11,1822686
"333",1970-01-07,"Maine",8,1216068
"334",1970-01-07,"New.Hampshire",9,1278560
"335",1970-01-07,"Arizona",32,6091467
"336",1970-01-07,"Rhode.Island",6,929596
"337",1970-01-08,"Maryland",34,6497744
"338",1970-01-08,"Iowa",19,3086788
"339",1970-01-08,"Delaware",4,834420
"340",1970-01-08,"Ohio",42,11331100
"341",1970-01-08,"Pennsylvania",43,12677130
"342",1970-01-08,"Nebraska",12,1828636
"343",1970-01-08,"Washington",36,7083135
"344",1970-01-08,"Alabama",25,4507724
"345",1970-01-08,"Arkansas",14,2652788
"346",1970-01-08,"New.Mexico",13,2007169
"347",1970-01-08,"Texas",47,26095930
"348",1970-01-08,"California",48,35114980
"349",1970-01-08,"Kentucky",26,4646502
"350",1970-01-08,"Georgia",39,9667742
"351",1970-01-08,"Wisconsin",30,5784086
"352",1970-01-08,"Oregon",22,4026673
"353",1970-01-08,"Missouri",33,6095176
"354",1970-01-08,"Virginia",37,8356177
"355",1970-01-08,"Tennessee",31,5924996
"356",1970-01-08,"Louisiana",23,4425600
"357",1970-01-08,"New.York",45,18341690
"358",1970-01-08,"Michigan",40,9800301
"359",1970-01-08,"Idaho",10,1677723
"360",1970-01-08,"Florida",46,20131420
"361",1970-01-08,"Illinois",44,12956220
"362",1970-01-08,"Montana",7,1020306
"363",1970-01-08,"Minnesota",28,5469500
"364",1970-01-08,"Indiana",35,6518298
"365",1970-01-08,"Massachusetts",29,5612916
"366",1970-01-08,"Kansas",17,2858035
"367",1970-01-08,"Nevada",15,2761690
"368",1970-01-08,"Vermont",2,634153
"369",1970-01-08,"Connecticut",20,3351654
"370",1970-01-08,"New.Jersey",41,10054250
"371",1970-01-08,"North.Carolina",38,9311830
"372",1970-01-08,"Utah",18,3037363
"373",1970-01-08,"North.Dakota",3,672026
"374",1970-01-08,"South.Carolina",24,4474623
"375",1970-01-08,"Mississippi",16,2782401
"376",1970-01-08,"Colorado",27,5367069
"377",1970-01-08,"South.Dakota",5,849586
"378",1970-01-08,"Oklahoma",21,3545716
"379",1970-01-08,"Wyoming",1,587924
"380",1970-01-08,"West.Virginia",11,1822686
"381",1970-01-08,"Maine",8,1216068
"382",1970-01-08,"New.Hampshire",9,1278560
"383",1970-01-08,"Arizona",32,6091467
"384",1970-01-08,"Rhode.Island",6,929596
"385",1970-01-09,"Maryland",34,6497744
"386",1970-01-09,"Iowa",19,3086788
"387",1970-01-09,"Delaware",4,834420
"388",1970-01-09,"Ohio",42,11331100
"389",1970-01-09,"Pennsylvania",43,12677130
"390",1970-01-09,"Nebraska",12,1828636
"391",1970-01-09,"Washington",36,7083135
"392",1970-01-09,"Alabama",25,4507724
"393",1970-01-09,"Arkansas",14,2652788
"394",1970-01-09,"New.Mexico",13,2007169
"395",1970-01-09,"Texas",47,26095930
"396",1970-01-09,"California",48,35114980
"397",1970-01-09,"Kentucky",26,4646502
"398",1970-01-09,"Georgia",39,9667491
"399",1970-01-09,"Wisconsin",30,5784086
"400",1970-01-09,"Oregon",22,4026673
"401",1970-01-09,"Missouri",33,6095176
"402",1970-01-09,"Virginia",37,8356177
"403",1970-01-09,"Tennessee",31,5924996
"404",1970-01-09,"Louisiana",23,4425600
"405",1970-01-09,"New.York",45,18341690
"406",1970-01-09,"Michigan",40,9800301
"407",1970-01-09,"Idaho",10,1677723
"408",1970-01-09,"Florida",46,20131420
"409",1970-01-09,"Illinois",44,12956220
"410",1970-01-09,"Montana",7,1020306
"411",1970-01-09,"Minnesota",28,5469500
"412",1970-01-09,"Indiana",35,6518298
"413",1970-01-09,"Massachusetts",29,5612916
"414",1970-01-09,"Kansas",17,2858035
"415",1970-01-09,"Nevada",15,2761690
"416",1970-01-09,"Vermont",2,634153
"417",1970-01-09,"Connecticut",20,3351654
"418",1970-01-09,"New.Jersey",41,10054250
"419",1970-01-09,"North.Carolina",38,9311830
"420",1970-01-09,"Utah",18,3037363
"421",1970-01-09,"North.Dakota",3,672026
"422",1970-01-09,"South.Carolina",24,4474623
"423",1970-01-09,"Mississippi",16,2782401
"424",1970-01-09,"Colorado",27,5367069
"425",1970-01-09,"South.Dakota",5,849586
"426",1970-01-09,"Oklahoma",21,3545716
"427",1970-01-09,"Wyoming",1,587924
"428",1970-01-09,"West.Virginia",11,1822686
"429",1970-01-09,"Maine",8,1216068
"430",1970-01-09,"New.Hampshire",9,1278560
"431",1970-01-09,"Arizona",32,6091467
"432",1970-01-09,"Rhode.Island",6,929596
"433",1970-01-10,"Maryland",34,6497744
"434",1970-01-10,"Iowa",19,3086788
"435",1970-01-10,"Delaware",4,834420
"436",1970-01-10,"Ohio",42,11331100
"437",1970-01-10,"Pennsylvania",43,12677130
"438",1970-01-10,"Nebraska",12,1828636
"439",1970-01-10,"Washington",36,7083135
"440",1970-01-10,"Alabama",25,4507724
"441",1970-01-10,"Arkansas",14,2652788
"442",1970-01-10,"New.Mexico",13,2007169
"443",1970-01-10,"Texas",47,26095930
"444",1970-01-10,"California",48,35114980
