team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VAN,2011,VAN,VAN,Team Level,other,82,0.56,0.56,0.56,10963,188.41,26.47,13.06,36.61,6.16,103.88,79.81,25.53,26.47,25.53,206,60,84,350,27,5,2,33,7,103,91,179,239,12,24,164,39,28,19,174,59,33,5.54,7.23,13.7,4,8,15,350,266,266,9,3.75,1.82,2.93,27.29,27.29,26.46,154.64,20.83,11.38,31.57,5.34,81.88,59.99,19.77,20.83,19.77,151,60,67,278,17,12,1,26,6,65,85,134,194,12,26,171,61,41,27,137,52,22,5.05,6.48,9.3,1,9,7,278,211,211,15,3.19,2.06,1.67,22.35,22.35,21.27
VAN,2011,VAN,VAN,Team Level,all,82,0.49,0.53,0.52,301315,2529.42,206.02,172.96,582.93,84.59,1445.55,1080.96,199.99,207.73,201.66,2583,990,1302,4875,241,135,36,611,85,1190,1312,2342,3332,370,887,2529,1826,539,582,2835,564,174,76.69,68.71,60.63,90,83,68,4928.33,3573,3606.81,403,38.31,28.93,32.43,211.91,213.44,209.12,2366.94,214.96,166.85,533.71,79.49,1317.78,986.21,206.71,213.92,205.69,2526,773,1019,4318,191,168,47,601,81,1005,1253,2335,3108,368,887,2320,1945,625,627,2451,654,194,71.9,78.88,64.18,55,64,72,4264.66,3299,3269.87,409,36.94,37.33,40.96,210.94,209.8,205.2
VAN,2011,VAN,VAN,Team Level,5on5,82,0.48,0.53,0.52,237778,1893.04,135.03,121.83,456.81,63.13,1067.76,816.43,131.66,136.75,133.32,1916,745,999,3660,157,99,23,475,64,864,1003,1759,2504,317,763,1867,1664,415,455,2162,402,97,59.78,49.07,26.21,73,58,26,3713.33,2661,2694.81,335,24.98,19.28,21.06,138.95,140.49,138.58,1796.01,145.41,118.38,419.82,60.09,995.42,765.89,140.89,144.36,139.88,1915,590,776,3281,132,119,36,475,60,756,963,1783,2373,305,737,1686,1750,483,490,1928,463,114,56.45,56.17,32.79,49,46,37,3227.66,2505,2475.87,352,24.35,26.43,28.31,141.45,140.31,138.41
VAN,2011,VAN,VAN,Team Level,4on5,82,0.11,0.14,0.14,27332,60.14,5.56,2.89,7.92,1.89,17.14,50.59,5.44,5.56,5.44,67,19,23,109,7,4,2,8,0,15,52,60,79,13,32,255,89,83,55,60,20,6,1.63,2.52,1.41,2,4,1,109,86,86,50,0.66,0.81,0.81,5.41,5.41,5.4,366.62,44.42,34.83,75.72,12.5,226.25,121.28,41.85,44.42,41.85,400,115,163,678,38,32,9,96,12,174,163,362,477,29,66,247,57,27,68,338,124,53,9.18,14.56,20.68,4,8,26,678,515,515,5,8.88,8.32,10.14,43.16,43.16,41.54
VAN,2011,VAN,VAN,Team Level,5on4,82,0.9,0.9,0.89,25242,387.82,38.95,35.17,81.58,13.41,256.76,134.12,37.36,38.95,37.36,394,166,196,756,50,27,9,95,14,208,166,344,510,28,68,243,34,13,53,439,83,38,9.74,9.89,19.32,11,13,26,756,560,560,9,8.92,7.01,7.63,40.25,40.25,38.67,49.69,4.3,2.25,6.6,1.56,14.24,39.05,4.2,4.3,4.2,60,8,13,81,4,5,1,4,3,10,42,56,64,22,58,216,77,74,42,48,15,5,1.22,1.67,1.41,1,1,2,81,68,68,37,0.53,0.52,0.84,3.99,3.99,3.98
CHI,2011,CHI,CHI,Team Level,other,82,0.64,0.53,0.53,8708,134.57,26.98,8.9,25.08,4.3,67.42,53.32,26.44,26.98,26.44,135,51,66,252,29,6,2,20,6,52,73,106,157,5,10,119,42,42,22,107,38,41,3.98,4.56,18.44,2,8,19,252,186,186,14,2.47,2.3,2.3,27.14,27.14,26.76,117.98,14.88,7.88,23.6,4.17,64.62,47.87,13.73,14.88,13.73,127,36,58,221,15,8,4,23,2,60,55,112,148,11,22,118,53,29,13,109,36,18,3.96,4.14,6.77,2,5,8,221,163,163,4,2.14,2.75,2.75,14.27,14.27,13.58
CHI,2011,CHI,CHI,Team Level,all,82,0.52,0.53,0.52,300972,2531.57,224.23,176.58,569,82,1414.03,1039.16,218.29,224.8,218.87,2583,922,1190,4695,241,140,36,601,72,1121,1330,2342,3264,290,726,2390,1500,775,588,2698,597,210,78.11,72.74,73.37,84,76,81,4704.31,3505,3515.18,388,38.61,32.1,32.64,230.19,230.69,226.88,2311.67,203.65,162.5,520.69,76.3,1289.6,947.25,196.1,203.92,196.35,2343,857,1029,4229,231,155,41,478,63,1070,1203,2112,2969,347,839,2338,2193,629,513,2407,617,176,68.91,74.98,59.76,73,86,72,4232.7,3200,3202.55,318,35.64,36.19,37.65,201.64,202.06,198.18
CHI,2011,CHI,CHI,Team Level,5on5,82,0.52,0.53,0.53,242697,2016.65,153.31,133.99,468.84,65.45,1126.22,844.19,149.63,153.89,150.21,2050,742,925,3717,169,108,27,498,60,887,1070,1881,2623,267,680,1816,1355,610,470,2205,470,117,64,56.99,32.32,77,59,33,3726.31,2792,2802.18,330,27.57,24.06,24.6,156.28,156.79,154.78,1797.04,143.89,120.61,415.86,58.41,995.45,754.77,140.05,144.16,140.3,1827,662,814,3303,166,107,25,393,50,824,949,1661,2323,309,763,1790,2008,499,399,1904,484,101,55.54,59.02,29.32,62,68,36,3306.7,2489,2491.55,258,24.86,24,25.11,143.64,144.05,141.84
CHI,2011,CHI,CHI,Team Level,4on5,82,0.14,0.11,0.12,22270,48.72,6.38,2.67,6.78,1.36,13.65,34.17,6.28,6.38,6.28,51,14,13,78,6,3,1,4,1,8,43,45,59,5,10,202,73,93,43,36,19,10,1.1,2.36,2.92,0,2,4,78,65,65,42,0.61,0.81,0.81,6.17,6.17,6.14,353.43,40.17,31.98,75.04,12.32,217.6,114.91,37.6,40.17,37.6,348,144,136,628,47,40,12,59,9,178,159,301,445,15,30,217,46,16,49,358,86,48,8.46,10.47,21.23,9,12,26,628,492,492,5,8.16,9.44,9.79,38.54,38.54,37.58
CHI,2011,CHI,CHI,Team Level,5on4,82,0.89,0.89,0.89,27297,331.63,37.56,31.02,68.29,10.9,206.75,107.48,35.93,37.56,35.93,347,115,186,648,37,23,6,79,5,174,144,310,425,13,26,253,30,30,53,350,70,42,9.03,8.83,19.7,5,7,25,648,462,462,2,7.95,4.92,4.92,40.59,40.59,39.2,43.22,4.73,2.03,6.2,1.4,11.93,29.7,4.72,4.73,4.72,41,15,21,77,3,0,0,3,2,8,40,38,53,12,24,213,86,85,52,36,11,9,0.94,1.35,2.44,0,1,2,77,56,56,51,0.47,0,0,5.2,5.2,5.19
