team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PHI,2012,PHI,PHI,Team Level,5on4,48,0.91,0.88,0.88,16095,232.04,32.87,20.2,47.69,7.86,136.35,74.03,30.43,32.87,30.43,238,81,114,433,34,25,5,54,10,104,92,204,285,24,56,168,26,15,37,189,90,40,4.13,11.37,17.36,6,10,18,433,319,319,6,5.29,6.67,6.55,31.6,31.6,30.32,30.59,3.42,1.59,4.12,0.86,8.98,23.02,3.3,3.42,3.3,32,10,15,57,2,1,0,6,1,9,23,30,40,11,28,143,43,34,47,26,12,4,0.75,1.44,1.23,0,2,0,57,42,42,45,0.37,0.34,0.34,3.45,3.45,3.36
WPG,2012,WPG,WPG,Team Level,other,48,0.55,0.52,0.53,5123,88.22,14.8,6.06,17.16,2.72,46.35,33.92,14.25,14.8,14.25,86,35,39,160,16,6,3,16,4,47,32,70,105,1,2,58,35,16,9,73,31,17,2.35,3.89,8.56,1,6,9,160,121,121,4,1.72,1.67,2.3,14.21,14.21,13.87,75.95,12.1,5.2,14.6,2.62,43.14,29.4,11.61,12.1,11.61,74,34,38,146,13,5,1,13,1,37,39,61,95,3,6,80,26,17,16,66,30,12,2.23,3.65,6.22,2,4,7,146,108,108,6,1.51,1.43,1.43,12.12,12.12,11.77
WPG,2012,WPG,WPG,Team Level,all,48,0.5,0.5,0.5,175045,1423.91,121.85,93.51,330.07,46.52,799.37,606.7,117.89,122.16,118.18,1390,608,743,2741,126,95,17,287,61,702,727,1264,1872,183,447,1344,1411,289,378,1550,349,99,44.83,43.26,33.77,38,51,37,2739.92,1998,2000.95,274,20.38,18.72,19.35,122.88,123.02,121.01,1433.43,123.77,96.2,334.85,47.28,809.29,594.66,120.16,124.23,120.6,1424,583,713,2720,141,107,25,301,47,660,751,1283,1866,191,468,1402,1208,289,425,1526,383,98,44.61,46.13,33.04,50,52,39,2733.58,2007,2013.39,291,20.97,20.03,20.78,123.91,124.35,122.37
WPG,2012,WPG,WPG,Team Level,5on5,48,0.49,0.49,0.49,143686,1140.5,87.56,71.85,272.91,37.41,640.88,489.38,85.35,87.88,85.64,1098,502,599,2199,91,77,13,231,48,565,588,1007,1509,161,398,1062,1287,227,318,1267,274,59,37.16,34.17,16.22,31,41,19,2197.92,1600,1602.95,243,14.71,14.37,14.37,87.9,88.04,86.84,1176.81,91.55,76.45,285.08,38.87,662.02,492.02,89.14,92.01,89.58,1161,485,597,2243,103,91,22,259,43,539,611,1058,1543,163,401,1099,1096,236,343,1281,300,65,37.71,35.93,17.9,42,40,21,2256.58,1646,1652.39,239,15.68,16.67,17.66,89.58,90.03,89
WPG,2012,WPG,WPG,Team Level,4on5,48,0.15,0.16,0.18,12238,33.11,3.13,1.59,4.12,0.91,9.61,26.63,3.13,3.13,3.13,36,10,9,55,1,0,0,4,1,6,34,35,45,11,22,103,52,34,24,31,13,2,0.89,1.56,0.69,1,0,0,55,46,46,23,0.37,0,0,3.5,3.5,3.5,152.32,17.82,13.33,31.61,5.02,95.58,50.64,17.12,17.82,17.12,162,52,74,288,22,11,2,26,1,77,77,140,192,13,26,105,28,6,30,149,46,19,3.83,5.77,8.21,6,6,10,288,214,214,10,3.5,1.94,1.7,19.63,19.63,19.03
WPG,2012,WPG,WPG,Team Level,5on4,48,0.88,0.88,0.86,13998,162.09,16.36,14,35.87,5.47,102.53,56.77,15.16,16.36,15.16,170,61,96,327,18,12,1,36,8,84,73,152,213,10,25,121,37,12,27,179,31,21,4.43,3.63,8.3,5,4,9,327,231,231,4,3.59,2.67,2.67,17.27,17.27,16.8,28.34,2.3,1.21,3.56,0.78,8.55,22.59,2.29,2.3,2.29,27,12,4,43,3,0,0,3,2,7,24,24,36,12,35,118,58,30,36,30,7,2,0.82,0.77,0.71,0,2,1,43,39,39,36,0.28,0,0,2.58,2.58,2.56
MTL,2012,MTL,MTL,Team Level,other,48,0.51,0.55,0.51,7529,92.69,13.54,6.67,18.59,3.08,51.19,36.92,13.19,13.54,13.19,95,35,55,185,14,7,3,17,2,50,40,81,116,7,14,91,29,18,13,99,14,17,2.97,1.77,8.81,1,2,11,185,130,130,8,1.97,2.8,2.8,12.72,12.72,12.51,90.46,13.19,5.94,18.53,3.23,47.73,36.37,12.74,13.19,12.74,88,37,26,151,15,4,2,14,4,47,41,73,110,9,18,100,35,13,16,84,29,12,2.56,3.76,6.86,5,2,8,151,125,125,12,1.72,1.62,1.62,13.29,13.29,12.98
MTL,2012,MTL,MTL,Team Level,all,48,0.54,0.53,0.53,175072,1460.91,131.71,100.26,348.99,48.38,818.05,600.61,124.7,132.78,125.75,1468,580,761,2809,146,122,38,344,59,654,723,1322,1902,228,542,1499,1067,260,394,1588,323,137,42.19,39.32,50.19,48,40,58,2828.35,2048,2065.84,319,22.46,27.95,28.74,125.43,126.42,122.16,1269.58,110.44,82.21,296.39,41.63,711.46,543.87,105.48,110.07,105.1,1294,492,702,2488,124,69,18,283,46,566,698,1170,1662,256,587,1514,1310,245,486,1397,295,94,37.69,35.86,36.89,40,44,40,2466.88,1786,1772.87,371,18.29,16.64,17.27,111.45,110.9,107.99
MTL,2012,MTL,MTL,Team Level,5on5,48,0.55,0.53,0.53,133934,1100.73,81.55,70.5,274.84,36.46,615.5,461.14,78.78,82.64,79.84,1097,443,587,2127,98,84,25,266,46,481,565,999,1442,183,445,1110,955,194,306,1222,249,69,32.81,30.41,18.34,39,33,26,2146.35,1540,1557.84,260,14.45,16.24,17.46,78.54,79.52,78.28,952.89,66.09,58.45,234.55,31.18,536.01,413.72,64.57,65.73,64.2,976,364,557,1897,77,50,13,230,33,414,536,899,1263,214,497,1100,1161,179,393,1097,200,43,29.75,24.06,12.29,31,34,12,1875.88,1340,1326.87,305,11.95,10.35,10.77,67.28,66.71,65.88
MTL,2012,MTL,MTL,Team Level,4on5,48,0.08,0.13,0.13,15476,28.6,2.41,1.27,3.42,0.79,8.08,24.04,2.3,2.41,2.3,29,11,14,54,0,1,0,6,3,8,22,29,40,13,29,132,52,27,45,29,9,2,0.72,1.03,0.66,0,0,0,54,40,40,45,0.29,0.36,0.36,2.34,2.34,2.34,189.92,28.02,16.3,38.13,6.2,116.94,63.42,25.04,28.02,25.04,189,80,105,374,30,14,3,36,6,94,89,159,239,18,39,146,36,16,26,175,58,36,4.33,6.93,16.76,4,8,18,374,269,269,4,4.26,4.6,4.81,27.48,27.48,25.7
